河北频道,#genre#
青海卫视,http://111.225.95.129:33333/hls/45/index.m3u8
青海卫视,http://111.61.236.247:9081/hls/49/index.m3u8
青海卫视,http://121.24.99.99:8090/hls/51/index.m3u8
黑龙江卫视,http://111.225.95.129:33333/hls/27/index.m3u8
黑龙江卫视,http://111.61.236.247:9081/hls/34/index.m3u8
黑龙江卫视,http://121.24.99.99:8090/hls/42/index.m3u8
其他频道,#genre#
1,http://111.225.108.240:8001
1,http://121.29.191.142:8000
1,http://123.182.60.29:9002
1,http://123.183.72.90:808
CETV1,http://111.225.95.129:33333/hls/114/index.m3u8
CETV1,http://121.24.99.99:8090/hls/67/index.m3u8
CETV2,http://111.225.95.129:33333/hls/115/index.m3u8
CETV4,http://111.225.95.129:33333/hls/116/index.m3u8
kaku少儿,http://111.225.95.129:33333/hls/61/index.m3u8
三佳购物,http://121.24.99.99:8090/hls/69/index.m3u8
上海东方,http://121.24.99.99:8090/hls/77/index.m3u8
世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
中华美食,http://121.24.99.99:8090/hls/73/index.m3u8
中国交通,http://111.225.95.129:33333/hls/120/index.m3u8
中国交通,http://121.24.99.99:8090/hls/76/index.m3u8
书画,http://111.225.95.129:33333/hls/113/index.m3u8
亲子启蒙,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_qinziqimeng_1080p_t10/c16_lb_qinziqimeng_1080p_t10.m3u8
保定1,http://111.225.95.129:33333/hls/63/index.m3u8
保定2,http://111.225.95.129:33333/hls/64/index.m3u8
保定3,http://111.225.95.129:33333/hls/65/index.m3u8
保定东湖画面,http://111.225.95.129:33333/hls/83/index.m3u8
保定定州画面,http://111.225.95.129:33333/hls/86/index.m3u8
保定白石山,http://111.225.95.129:33333/hls/85/index.m3u8
健康,http://121.24.99.99:8090/hls/63/index.m3u8
儿童乐园,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_dongmantiandi_1080p_t10/c15_lb_dongmantiandi_1080p_t10.m3u8
先锋乒羽,http://111.225.95.129:33333/hls/122/index.m3u8
军事观察,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_junshinew_1080p_t10/c16_lb_junshinew_1080p_t10.m3u8
军旅剧场,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c16_lb_junlvjuchang_1080p_t10/c16_lb_junlvjuchang_1080p_t10.m3u8
凤凰资讯,http://121.24.99.99:8090/hls/70/index.m3u8
动作电影,http://121.24.99.99:8090/hls/98/index.m3u8
动漫秀场,http://111.225.95.129:33333/hls/127/index.m3u8
